2,10,1,0.085963
1,10,1,0.089227
3,10,1,0.077258
4,10,1,0.095756
3,10,2,0.093580
2,10,2,0.082699
4,10,2,0.079434
1,10,2,0.082699
2,10,3,0.088139
4,10,3,0.084875
3,10,3,0.079434
1,10,3,0.081610
2,10,4,0.079434
3,10,4,0.069641
4,10,4,0.071817
3,10,5,0.080522
1,10,4,0.077258
2,10,5,0.077258
4,10,5,0.084875
3,10,6,0.075082
2,10,6,0.090316
1,10,5,0.096844
4,10,6,0.070729
3,10,7,0.081610
2,10,7,0.087051
1,10,6,0.081610
3,10,8,0.070729
4,10,7,0.089227
2,10,8,0.072905
3,10,9,0.070729
1,10,7,0.076170
2,10,9,0.083787
4,10,8,0.085963
3,10,10,0.062024
2,10,10,0.067465
1,10,8,0.081610
4,10,9,0.079434
3,10,11,0.072905
2,10,11,0.064200
1,10,9,0.075082
4,10,10,0.070729
3,10,12,0.080522
2,10,12,0.072905
1,10,10,0.077258
3,10,13,0.075082
4,10,11,0.083787
2,10,13,0.069641
1,10,11,0.080522
3,10,14,0.068553
2,10,14,0.076170
4,10,12,0.071817
1,10,12,0.084875
2,10,15,0.083787
3,10,15,0.072905
4,10,13,0.063112
1,10,13,0.079434
2,10,16,0.085963
3,10,16,0.068553
4,10,14,0.077258
1,10,14,0.070729
2,10,17,0.082699
3,10,17,0.072905
4,10,15,0.083787
1,10,15,0.076170
2,10,18,0.085963
3,10,18,0.075082
4,10,16,0.072905
1,10,16,0.080522
3,10,19,0.077258
2,10,19,0.082699
4,10,17,0.079434
1,10,17,0.072905
3,10,20,0.084875
4,10,18,0.073993
2,10,20,0.068553
1,10,18,0.076170
3,10,21,0.080522
4,10,19,0.070729
2,10,21,0.067465
1,10,19,0.081610
3,10,22,0.081610
4,10,20,0.059848
2,10,22,0.080522
1,10,20,0.073993
3,10,23,0.076170
4,10,21,0.080522
2,10,23,0.080522
1,10,21,0.084875
3,10,24,0.085963
4,10,22,0.080522
2,10,24,0.083787
4,10,23,0.082699
1,10,22,0.081610
3,10,25,0.069641
2,10,25,0.080522
1,10,23,0.072905
3,10,26,0.069641
4,10,24,0.079434
2,10,26,0.076170
1,10,24,0.075082
4,10,25,0.070729
3,10,27,0.088139
2,10,27,0.075082
1,10,25,0.080522
4,10,26,0.082699
3,10,28,0.083787
2,10,28,0.080522
4,10,27,0.067465
3,10,29,0.084875
1,10,26,0.078346
2,10,29,0.095756
4,10,28,0.079434
3,10,30,0.064200
1,10,27,0.072905
2,10,30,0.081610
4,10,29,0.084875
3,10,31,0.069641
1,10,28,0.078346
2,10,31,0.077258
4,10,30,0.076170
3,10,32,0.095756
1,10,29,0.077258
2,10,32,0.070729
3,10,33,0.083787
4,10,31,0.078346
1,10,30,0.077258
2,10,33,0.081610
4,10,32,0.072905
3,10,34,0.077258
